"thing_name","timestamp","gateState","lastSpeedDetected","speedLimit","vehiclePassed"
"RompeMuellesIoT","1748890564922","null","87","null","null"
"RompeMuellesIoT","1748902760089","close","3","20","null"
"RompeMuellesIoT","1748902780226","close","1","20","null"
"RompeMuellesIoT","1748902800194","close","11","20","null"
"RompeMuellesIoT","1748902804199","close","3","20","null"
"RompeMuellesIoT","1748902836285","close","57","20","null"
"RompeMuellesIoT","1748902840309","close","56","20","null"
"RompeMuellesIoT","1748908846775","close","13","20","null"
"RompeMuellesIoT","1748908854788","close","17","20","null"
"RompeMuellesIoT","1748908858828","close","63","20","null"
"RompeMuellesIoT","1748908870525","close","67","20","null"
"RompeMuellesIoT","1748908947005","close","63","20","null"
"RompeMuellesIoT","1748909003209","close","57","20","null"
"RompeMuellesIoT","1748909022998","close","33","20","null"
"RompeMuellesIoT","1748909027020","close","20","20","null"
"RompeMuellesIoT","1748909951400","close","42","20","null"
"RompeMuellesIoT","1748909963034","close","21","20","null"
"RompeMuellesIoT","1748910096231","close","42","20","null"
"RompeMuellesIoT","1748910100251","close","38","20","null"
"RompeMuellesIoT","1748910226440","close","1","20","null"
"RompeMuellesIoT","1748910238572","close","18","20","null"
"RompeMuellesIoT","1748910291183","close","2","20","null"
"RompeMuellesIoT","1748910303230","close","14","20","null"
"RompeMuellesIoT","1748910315370","close","13","20","null"
"RompeMuellesIoT","1748910319374","close","10","20","null"
"RompeMuellesIoT","1748910323401","close","3","20","null"
"RompeMuellesIoT","1748910331686","close","2","20","null"
"RompeMuellesIoT","1748910335475","close","4","20","null"
"RompeMuellesIoT","1748910343530","close","2","20","null"
"RompeMuellesIoT","1748910351553","close","5","20","null"
"RompeMuellesIoT","1748910355561","close","25","20","null"
"RompeMuellesIoT","1748910359581","close","10","20","null"
"RompeMuellesIoT","1748910367193","close","14","20","null"
"RompeMuellesIoT","1748910375252","close","6","20","null"
"RompeMuellesIoT","1748910379238","close","19","20","null"
"RompeMuellesIoT","1748910435435","close","22","20","null"
"RompeMuellesIoT","1748910459110","close","15","20","null"
"RompeMuellesIoT","1748910463129","close","11","20","null"
"RompeMuellesIoT","1748910467126","close","3","20","null"
"RompeMuellesIoT","1748910471139","close","3","20","null"
"RompeMuellesIoT","1748910475155","close","5","20","null"
"RompeMuellesIoT","1748910479167","close","8","20","null"
"RompeMuellesIoT","1748910491216","close","20","20","null"
"RompeMuellesIoT","1748910507270","close","23","20","null"
"RompeMuellesIoT","1748910522901","close","19","20","null"
"RompeMuellesIoT","1748910534941","close","21","20","null"
"RompeMuellesIoT","1748910558611","close","5","20","null"
"RompeMuellesIoT","1748910566631","close","22","20","null"
"RompeMuellesIoT","1748910570640","close","2","20","null"
"RompeMuellesIoT","1748910578272","close","21","20","null"
"RompeMuellesIoT","1748910582305","close","20","20","null"
"RompeMuellesIoT","1748910589945","close","27","20","null"
"RompeMuellesIoT","1748910593963","close","20","20","null"
"RompeMuellesIoT","1748910601571","close","5","20","null"
"RompeMuellesIoT","1748910621663","close","24","20","null"
"RompeMuellesIoT","1748910625656","close","8","20","null"
"RompeMuellesIoT","1748910633271","close","24","20","null"
